name;price;info;link;Серия:;"Размер прямоугольного корпуса, мм:";"Наличие на складе г. Смоленск:";"Глубина щели, мм:";Комплектация:;Корпус:;"Материал корпуса:";"Напряжение питания, В:";"Принцип действия:";"Резьба разъема:";Соединение:;Тип:;"Тип выходного сигнала:";"Тип света:";"Функция переключения:";"Частота переключения, Гц:";"Ширина щели, мм:";"Число контактов, pin:";"Страна происхождения:";"Температура эксплуатации Max, °C:";"Температура эксплуатации Min, °C:";"Сертификат соответствия:";"Вес, грамм:";"Защита от переполюсовки:";Индикация:;"Степень защиты:";"Минимальный диаметр объекта, мм:";"Длина волны, нм:";Особенности:;"Температура эксплуатации, °C:";"Потребление тока, мА:";"Влажность окружающей среды:";"Время отклика, мс:";"Длина кабеля, м:";"Защита от короткого замыкания:";"Защита от перегрузок по току:";"Макс. ток нагрузки, А:";"Расстояние срабатывания, мм:";"Минимальный зазор между объектами, мм:";Подключение:;Применение:;"Источник излучения:";"Кодировка разъема:";"Ширина этикетки Min, мм:";"Зазор между этикетками Min, мм:";Настройка:;"Класс безопасности систем управления SIL:";"Материал кабеля:";"Электрическое исполнение:";"Минимальный размер объекта, мм:";"Расположение разъема:";"Коммуникационный интерфейс:";"Температура окружающей среды, °C:";Дисплей:;"Класс защиты:";"Класс лазера:";"Защита от перегрузки:";"Диаметр светового пятна Max, мм:";"Регулировка чувствительности:";Модель:;Исполнение:;"Индикация срабатывания:";Модификация:;"Материал линзы:";"Максимальная скорость ленты, м/мин:";"Количество лучей:";"Количество проводов и сечение:";"Глубина установки (со стороны), мм:";"наличие в общем:";"Напряжение питания DC, В:";"(при использовании вне взрывоопасной зоны)";"5-30 DC";Кабель;IP67;-40…+100;NAMUR;NC;3000;"Длина стороны 1, мм:";"Длина стороны 2, мм:";"Потребляемая мощность, Вт:";5000;"(IEC 60825-1 : 2007";"Длина кабеля, мм:";"Активная зона обнаружения, мм:";Монтаж:;"Светодиодный индикатор:";"Время срабатывания, мс:";"Ширина щели:";Питание:;"Способ подключения:";"Тип излучателя:";"Функция на выходе:";"Частота переключений:";"Размеры рамки, мм:";"Глубина щели:";"Оптическая особенность:";"Наименование элемента:";"s:151:""В комплектацию не входят: ответные разъемы для подключения в систему и аксессуары.";стекло;DC;Разъем;"оптический щелевой датчик для контроля кромки и ширины объекта";LED;"инфракрасный свет";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422";"400 Гц";"Количество оптических осей:";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422, RS 485";"50 Гц";"Минимальный размер распознаваемого объекта:";"Размер метки, мм:";"Количество жил:";"Оптическая ось:";"Точность, мм:";"Рабочий диапазон, мм:";"Аналоговый выход по напряжению, В:";"Ширина активной области:"
"Щелевой датчик ТЕКО OUR NC5A5-43P-R50-LZS4";;"Потребление тока, мА:;35;Страна происхождения:;Россия;Регулировка чувствительности:;есть;Серия:;OU;Время отклика, мс:;1;Температура эксплуатации Max, °C:;65;Температура эксплуатации Min, °C:;-15;Размер прямоугольного корпуса, мм:;80x79x15;Глубина щели, мм:;46;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Количество лучей:;2;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,1;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Соединение:;Разъем;Степень защиты:;IP65;Тип выходного сигнала:;PNP;Тип света:;красный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;500;Ширина щели, мм:;50";https://sensoren.ru/product/shchelevoy_datchik_teko_our_nc5a5_43p_r50_lzs4/;OU;80x79x15;;46;;Щелевой;Алюминий;"12-24 DC";;;Разъем;;PNP;"красный свет";"на свет/на затемнение";500;50;;Россия;65;-15;;;да;есть;IP65;;;;;35;;1;;да;;0,1;;;;;;;;;;;;;;;;;;;;;;есть;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Micro Detectors FC6L/0B-1206-1F";"74 031 руб.";"Серия:;FC6I;Температура эксплуатации Max, °C:;50;Температура эксплуатации Min, °C:;-20;Наименование элемента:;Щелевой датчик Micro Detectors FC6L/0B-1206-1F;Глубина щели, мм:;59;Минимальный диаметр объекта, мм:;0,05;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+50;Тип выходного сигнала:;PNP/NPN;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;120";https://sensoren.ru/product/shchelevoy_datchik_datasensing_fc6l_0b_1206_1f/;FC6I;;;59;;;Алюминий;"12-24 DC";;M8;Разъем;;PNP/NPN;красный;"на свет/на затемнение";10000;120;;;50;-20;;;да;;IP65;0,05;;;-20…+50;;;;;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Щелевой датчик Micro Detectors FC6L/0B-1206-1F";;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Micro Detectors FC5R/LN-0303-1F";"21 152 руб.";"Серия:;FC5R;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-10;Наименование элемента:;Щелевой датчик Micro Detectors FC5R/LN-0303-1F;Глубина щели, мм:;40;Минимальный диаметр объекта, мм:;0,8;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP67;Температура эксплуатации, °C:;-10…+60;Тип выходного сигнала:;NPN;Тип света:;красный;Функция переключения:;на свет;Частота переключения, Гц:;4000;Ширина щели, мм:;30";https://sensoren.ru/product/shchelevoy_datchik_datasensing_fc5r_ln_0303_1f/;FC5R;;;40;;;Алюминий;"12-24 DC";;M8;Разъем;;NPN;красный;"на свет";4000;30;;;60;-10;;;да;;IP67;0,8;;;-10…+60;;;;;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Щелевой датчик Micro Detectors FC5R/LN-0303-1F";;;;;;;;;;;;;;;;;;;;
"Вилочный датчик Telemecanique XUVR1218PBNM8";;"Число контактов, pin:;3;Серия:;XUVR;Источник излучения:;LED Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-10;Вес, грамм:;190;Глубина щели, мм:;120;Минимальный диаметр объекта, мм:;1;Материал корпуса:;Алюминий / Пластик;Напряжение питания, В:;12-24 DC;Особенности:;Обнаружение на небольшом конвейере;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65/IP67;Температура эксплуатации, °C:;-10…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;красный;Функция переключения:;на свет;Частота переключения, Гц:;4000;Ширина щели, мм:;180";https://sensoren.ru/product/vilochnyy_datchik_telemecanique_xuvr1218pbnm8/;XUVR;;;120;;;"Алюминий / Пластик";"12-24 DC";;M8;Разъем;"Оптический вилочный";PNP;красный;"на свет";4000;180;3;;60;-10;;190;;;IP65/IP67;1;;"Обнаружение на небольшом конвейере";-10…+60;;;;;;;;;;;;"LED Светодиод";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Оптические окна Balluff BOWA";;"Комплектация:;В комплектацию не входят: ответные разъемы для подключения в систему и аксессуары;Минимальный размер распознаваемого объекта:;0.8 мм;Питание:;DC;Принцип действия:;оптический, световой барьер;Способ подключения:;разъем;Тип:;щелевой датчик;Тип излучателя:;LED инфракрасный;Функция на выходе:;PNP NO;Частота переключений:;3- 100 Гц;Ширина активной области:;80 мм";https://sensoren.ru/product/opticheskie_okna_balluff_bowa/;;;;;"В комплектацию не входят: ответные разъемы для подключения в систему и аксессуары";;;;"оптический, световой барьер";;;"щелевой датчик";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DC;разъем;"LED инфракрасный";"PNP NO";"3- 100 Гц";;;;;;;;;;;;;;;;;"0.8 мм";;;;;;;"80 мм"
"Щелевой датчик ТЕКО OU NC7A-43P-120-LZS4";;"Потребление тока, мА:;35;Страна происхождения:;Россия;Серия:;OU;Время отклика, мс:;1;Температура эксплуатации Max, °C:;65;Температура эксплуатации Min, °C:;-15;Размер прямоугольного корпуса, мм:;150x79x15;Глубина щели, мм:;46;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Количество лучей:;2;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,1;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Соединение:;Разъем;Степень защиты:;IP67;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;500;Ширина щели, мм:;120";https://sensoren.ru/product/shchelevoy_datchik_teko_ou_nc7a_43p_120_lzs4/;OU;150x79x15;;46;;Щелевой;Алюминий;"12-24 DC";;;Разъем;;PNP;"инфракрасный свет";"на свет/на затемнение";500;120;;Россия;65;-15;;;да;есть;IP67;;;;;35;;1;;да;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик ТЕКО OMG N04A5-43P-R10-LZ";;"Потребление тока, мА:;40;Страна происхождения:;Россия;Регулировка чувствительности:;есть;Серия:;OM;Время отклика, мс:;125;Температура эксплуатации Max, °C:;65;Температура эксплуатации Min, °C:;-15;Размер прямоугольного корпуса, мм:;85x20x52;Размер метки, мм:;3х5;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Количество проводов и сечение:;4х0,25 кв. мм;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,1;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Расстояние срабатывания, мм:;10;Соединение:;Кабель;Степень защиты:;IP65;Тип выходного сигнала:;PNP;Тип света:;зеленый;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;4000";https://sensoren.ru/product/shchelevoy_datchik_teko_omg_n04a5_43p_r10_lz/;OM;85x20x52;;;;Щелевой;Алюминий;"12-24 DC";;;Кабель;;PNP;зеленый;"на свет/на затемнение";4000;;;Россия;65;-15;;;да;есть;IP65;;;;;40;;125;;да;;0,1;10;;;;;;;;;;;;;;;;;;;;;есть;;;;;;;;"4х0,25 кв. мм";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3х5;;;;;;
"Щелевой датчик Micro Detectors FC6L/0B-0804-1F";"61 532 руб.";"Серия:;FC6I;Температура эксплуатации Max, °C:;50;Температура эксплуатации Min, °C:;-20;Наименование элемента:;Щелевой датчик Micro Detectors FC6L/0B-0804-1F;Глубина щели, мм:;42;Минимальный диаметр объекта, мм:;0,05;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+50;Тип выходного сигнала:;PNP/NPN;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;80";https://sensoren.ru/product/shchelevoy_datchik_datasensing_fc6l_0b_0804_1f/;FC6I;;;42;;;Алюминий;"12-24 DC";;M8;Разъем;;PNP/NPN;красный;"на свет/на затемнение";10000;80;;;50;-20;;;да;;IP65;0,05;;;-20…+50;;;;;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Щелевой датчик Micro Detectors FC6L/0B-0804-1F";;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Micro Detectors FC6I/0B-0104-1F";"36 536 руб.";"Серия:;FC6I;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Наименование элемента:;Щелевой датчик Micro Detectors FC6I/0B-0104-1F;Глубина щели, мм:;42;Минимальный диаметр объекта, мм:;0,2;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;15";https://sensoren.ru/product/shchelevoy_datchik_datasensing_fc6i_0b_0104_1f/;FC6I;;;42;;;Алюминий;"12-24 DC";;M8;Разъем;;PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;15;;;60;-20;;;да;;IP65;0,2;;;-20…+60;;;;;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Щелевой датчик Micro Detectors FC6I/0B-0104-1F";;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик ТЕКО ISN N3P-01-10E-L";"3 330 руб.";"Страна происхождения:;Россия;Серия:;IS;Температура эксплуатации Max, °C:;75;Температура эксплуатации Min, °C:;-25;Размер прямоугольного корпуса, мм:;45x40x40;Индикация:;есть;Количество проводов и сечение:;2х0,34 кв. мм;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,25;Материал корпуса:;Пластмасса;Напряжение питания, В:;20-250 AC;Соединение:;Кабель;Степень защиты:;IP67;Тип выходного сигнала:;PNP;Функция переключения:;NO;Частота переключения, Гц:;25;Ширина щели, мм:;10;Электрическое исполнение:;2-х проводный AC";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_teko_isn_n3p_01_10e_l/;IS;45x40x40;;;;Щелевой;Пластмасса;"20-250 AC";;;Кабель;;PNP;;NO;25;10;;Россия;75;-25;;;;есть;IP67;;;;;;;;;;;0,25;;;;;;;;;;;;"2-х проводный AC";;;;;;;;;;;;;;;;;;"2х0,34 кв. мм";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
